startPoints.lat	startPoints.lon	endPoints.lat	endPoints.lon
47.615457	-122.304888	47.640889	-122.284751
47.622165	-122.313648	47.58419	-122.301652
47.613287	-122.322109	47.670575	-122.354401
47.621842	-122.312667	47.622183	-122.361565
47.669365	-122.329077	47.62177	-122.339771
47.614256	-122.33817	47.616717	-122.344197
47.63915	-122.328338	47.639579	-122.356593
47.622183	-122.361567	47.614381	-122.342919
47.668524	-122.331423	47.668543	-122.331436
47.705272	-122.307217	47.623202	-122.334645
47.685502	-122.342944	47.62766	-122.340983
47.705044	-122.334807	47.615457	-122.304888
47.631007	-122.353706	47.61751	-122.34554
47.598306	-122.334945	47.598366	-122.32405
47.687662	-122.357507	47.606074	-122.329371
47.659172	-122.342688	47.677797	-122.326388
47.664724	-122.29563	47.66714	-122.305528
47.602063	-122.333105	47.606289	-122.330107
47.598366	-122.324049	47.656891	-122.316105
47.677797	-122.326388	47.658263	-122.342304
47.612749	-122.340457	47.671622	-122.343698
47.606874	-122.333636	47.614512	-122.334707
47.614398	-122.334544	47.674976	-122.317584
47.611537	-122.322279	47.679562	-122.295751
47.617477	-122.345582	47.677815	-122.322686
47.623586	-122.335846	47.620245	-122.345001
47.61966	-122.332738	47.612808	-122.342658
47.61424	-122.340163	47.607448	-122.32262
47.58037	-122.334219	47.617807	-122.316902
47.671622	-122.343698	47.617083	-122.320903
47.626243	-122.341513	47.656816	-122.341219
47.604413	-122.298909	47.618501	-122.281544
47.66714	-122.305528	47.655347	-122.312572
47.617082	-122.320903	47.612989	-122.325828
47.618501	-122.281544	47.598744	-122.292687
47.606288	-122.330107	47.692372	-122.290046
47.588134	-122.327877	47.622789	-122.338925
47.612202	-122.344564	47.625303	-122.363256
47.617807	-122.316902	47.666434	-122.317005
47.612808	-122.342659	47.654129	-122.347038
47.614281	-122.344068	47.666264	-122.338509
47.62279	-122.338925	47.615045	-122.320807
47.647754	-122.352994	47.632326	-122.362286
47.59875	-122.292687	47.659537	-122.340713
47.655347	-122.312572	47.66029	-122.335276
47.614589	-122.322128	47.704947	-122.322737
47.704947	-122.322737	47.704949	-122.322854
47.604646	-122.327419	47.596195	-122.314047
47.606074	-122.329371	47.636457	-122.356946
47.615044	-122.320807	47.616431	-122.309041
47.64206	-122.306524	47.622165	-122.313648
47.617591	-122.3416	47.628554	-122.309943
47.703131	-122.32273	47.709255	-122.278478
47.612073	-122.343618	47.650879	-122.346831
47.607448	-122.322619	47.69063	-122.298907
47.639596	-122.362501	47.598351	-122.32726
47.620244	-122.345001	47.637613	-122.356933
47.674976	-122.317584	47.688226	-122.322267
47.656816	-122.341218	47.656816	-122.341188
47.645732	-122.372394	47.665022	-122.34416
47.700177	-122.323129	47.676953	-122.297359
47.632326	-122.362284	47.660817	-122.330173
47.628553	-122.309943	47.662495	-122.316433
47.625303	-122.363256	47.684028	-122.348253
47.616431	-122.30904	47.614301	-122.327916
47.660817	-122.330173	47.652547	-122.344012
47.596196	-122.314047	47.587428	-122.289313
47.679563	-122.295751	47.67426	-122.406377
47.614302	-122.327916	47.650626	-122.354522
47.666434	-122.317002	47.660036	-122.313165
47.654129	-122.347036	47.617928	-122.323448
47.662496	-122.316433	47.669365	-122.329077
47.637613	-122.356933	47.616756	-122.314262
47.617645	-122.345866	47.614157	-122.34191
47.65088	-122.346838	47.668524	-122.331423
47.650626	-122.354522	47.614869	-122.350139
47.701638	-122.323147	47.705272	-122.307217
