type	latitude	longitude	color	width	opacity	name
T	47.641678	-122.280441
T	47.641743	-122.280441
T	47.641727	-122.281097
T	47.641727	-122.281136
T	47.641457	-122.281578
T	47.641438	-122.281609
T	47.6409	-122.281616
T	47.640862	-122.281998
T	47.640865	-122.282173
T	47.641907	-122.282181
T	47.641941	-122.282181
T	47.642044	-122.282455
T	47.642052	-122.282471
T	47.642033	-122.284065
T	47.642033	-122.284149
T	47.64122	-122.284203
T	47.641312	-122.284569
T	47.64135	-122.284744
T	47.641369	-122.284836
T	47.640862	-122.285004
T	47.640656	-122.285065
T	47.639381	-122.285072
T	47.637924	-122.285095
T	47.637913	-122.285095
T	47.637745	-122.285019
T	47.637573	-122.284897
T	47.637436	-122.284721
T	47.637341	-122.2845
T	47.637333	-122.284485
T	47.637329	-122.284462
T	47.637276	-122.284248
T	47.637218	-122.284218
T	47.637112	-122.284225
T	47.637115	-122.285194
T	47.637115	-122.285286
T	47.635796	-122.285278
T	47.635201	-122.2855
T	47.634525	-122.285507
T	47.634464	-122.285507
T	47.634472	-122.284225
T	47.633526	-122.284256
T	47.63353	-122.285439
T	47.63353	-122.28553
T	47.63097	-122.285583
T	47.62838	-122.289375
T	47.629555	-122.289391
T	47.629612	-122.289391
T	47.629642	-122.290131
T	47.629627	-122.290955
T	47.629623	-122.291039
T	47.628647	-122.291077
T	47.628654	-122.291924
T	47.628395	-122.293488
T	47.628372	-122.293625
T	47.627457	-122.292534
T	47.627144	-122.292603
T	47.626434	-122.292625
T	47.626358	-122.292702
T	47.626339	-122.292725
T	47.626122	-122.292656
T	47.625565	-122.293503
T	47.624443	-122.295174
T	47.624512	-122.29528
T	47.624626	-122.295357
T	47.625038	-122.295364
T	47.62505	-122.295212
T	47.625053	-122.295181
T	47.625137	-122.295052
T	47.625214	-122.294983
T	47.625225	-122.294975
T	47.625328	-122.294952
T	47.626408	-122.294899
T	47.626732	-122.294998
T	47.626751	-122.295006
T	47.627487	-122.29628
T	47.627567	-122.296272
T	47.627579	-122.296272
T	47.628155	-122.296608
T	47.62849	-122.296692
T	47.628502	-122.296692
T	47.628849	-122.296967
T	47.629005	-122.297226
T	47.629498	-122.298691
T	47.629665	-122.298843
T	47.630936	-122.298836
T	47.632015	-122.298836
T	47.63203	-122.298836
T	47.632305	-122.299011
T	47.632339	-122.299034
T	47.63237	-122.299492
T	47.633068	-122.299843
T	47.633175	-122.299858
T	47.63345	-122.299675
T	47.633682	-122.299385
T	47.633698	-122.29937
T	47.633881	-122.299339
T	47.635857	-122.299271
T	47.639393	-122.299171
T	47.6394	-122.298553
T	47.6394	-122.298462
T	47.640949	-122.298454
T	47.641201	-122.298248
T	47.641232	-122.298218
T	47.641376	-122.298363
T	47.641476	-122.298409
T	47.643143	-122.298401
T	47.643322	-122.298462
T	47.643612	-122.298576
T	47.643803	-122.298721
T	47.6441	-122.299156
T	47.644112	-122.299171
T	47.644264	-122.299767
T	47.644264	-122.299782
T	47.644318	-122.301842
T	47.645451	-122.301819
T	47.645473	-122.30159
T	47.645477	-122.301544
T	47.645618	-122.301414
T	47.645634	-122.301407
T	47.646374	-122.301392
T	47.646416	-122.301392
T	47.6465	-122.301682
T	47.646503	-122.301697
T	47.646507	-122.30188
T	47.64682	-122.301872
T	47.646881	-122.301872
T	47.646896	-122.302528
T	47.646904	-122.303932
T	47.646904	-122.304001
T	47.64669	-122.304085
T	47.646519	-122.304085
T	47.646523	-122.304337
T	47.646538	-122.307327
T	47.646557	-122.308945
T	47.646557	-122.308975
T	47.646431	-122.309204
T	47.646412	-122.309235
T	47.645908	-122.309265
T	47.645599	-122.309158
T	47.645573	-122.309151
T	47.6455	-122.308945
T	47.645493	-122.308929
T	47.645481	-122.30838
T	47.645481	-122.30722
T	47.645031	-122.307228
T	47.64497	-122.307228
T	47.644951	-122.305794
T	47.644875	-122.305313
T	47.644878	-122.304955
T	47.644722	-122.304962
T	47.644707	-122.304962
T	47.644241	-122.30468
T	47.643955	-122.304451
T	47.643124	-122.305573
T	47.641876	-122.306976
T	47.641602	-122.307304
T	47.641434	-122.307426
T	47.641422	-122.307434
T	47.641136	-122.307442
T	47.641182	-122.31234
T	47.642094	-122.313416
T	47.642307	-122.313927
T	47.64233	-122.31398
T	47.642113	-122.314354
T	47.642101	-122.314369
T	47.641922	-122.314484
T	47.643745	-122.316849
T	47.645508	-122.316841
T	47.645504	-122.316368
T	47.645504	-122.316284
T	47.645679	-122.316277
T	47.646996	-122.316299
T	47.647053	-122.316307
T	47.647057	-122.316986
T	47.648441	-122.318184
T	47.648598	-122.317772
T	47.648632	-122.317688
T	47.649982	-122.318924
T	47.650589	-122.319466
T	47.650982	-122.319817
T	47.651463	-122.320244
T	47.651901	-122.320648
T	47.651913	-122.320663
T	47.652023	-122.320915
T	47.652031	-122.320938
T	47.65205	-122.32119
T	47.652054	-122.321236
T	47.651894	-122.321472
T	47.65181	-122.321548
T	47.6521	-122.322395
T	47.652107	-122.322411
T	47.652107	-122.32267
T	47.652107	-122.322701
T	47.65205	-122.322823
T	47.652039	-122.322838
T	47.651897	-122.322937
T	47.651463	-122.323013
T	47.651176	-122.323067
T	47.649094	-122.324646
T	47.647861	-122.32563
T	47.646542	-122.326736
T	47.646091	-122.327133
T	47.644932	-122.327774
T	47.644913	-122.327789
T	47.644444	-122.327507
T	47.644405	-122.327492
T	47.644398	-122.327171
T	47.643848	-122.327194
T	47.643307	-122.327255
T	47.643311	-122.328728
T	47.643311	-122.328781
T	47.642155	-122.329659
T	47.642139	-122.329674
T	47.63736	-122.329666
T	47.636932	-122.329636
T	47.636913	-122.329628
T	47.6366	-122.329254
T	47.635841	-122.327774
T	47.635551	-122.327446
T	47.635311	-122.327316
T	47.634731	-122.327171
T	47.633888	-122.327164
T	47.632092	-122.327225
T	47.631981	-122.327232
T	47.630592	-122.328842
T	47.62888	-122.331093
T	47.628128	-122.332039
T	47.626499	-122.334137
T	47.626019	-122.334763
T	47.626019	-122.33609
T	47.626148	-122.336082
T	47.626205	-122.336082
T	47.626225	-122.337112
T	47.626225	-122.337204
T	47.626022	-122.337204
T	47.626022	-122.3386
T	47.626827	-122.339226
T	47.626846	-122.339241
T	47.626919	-122.339455
T	47.626968	-122.339478
T	47.627293	-122.339493
T	47.627308	-122.339493
T	47.627354	-122.339523
T	47.627426	-122.339371
T	47.627457	-122.33931
T	47.628654	-122.340172
T	47.629196	-122.340408
T	47.629753	-122.340477
T	47.630547	-122.340462
T	47.632355	-122.340431
T	47.633469	-122.340019
T	47.634182	-122.339874
T	47.637047	-122.339905
T	47.637592	-122.340073
T	47.639416	-122.341049
T	47.642399	-122.342865
T	47.64418	-122.344368
T	47.644192	-122.344383
T	47.644733	-122.345573
T	47.644772	-122.345657
T	47.644573	-122.345825
T	47.645725	-122.348633
T	47.645962	-122.348999
T	47.646267	-122.349342
T	47.646526	-122.34951
T	47.646969	-122.349556
T	47.647022	-122.349564
T	47.647045	-122.351181
T	47.647102	-122.351379
T	47.648159	-122.353737
T	47.649513	-122.356682
T	47.650593	-122.358978
T	47.6506	-122.358994
T	47.651001	-122.360718
T	47.652004	-122.360725
T	47.652046	-122.360725
T	47.652767	-122.364006
T	47.652786	-122.364098
T	47.652576	-122.364189
T	47.653187	-122.366356
T	47.653442	-122.36705
T	47.655632	-122.371078
T	47.655643	-122.371101
T	47.655689	-122.373177
T	47.655712	-122.373665
T	47.655712	-122.37368
T	47.655502	-122.374481
T	47.655266	-122.375137
T	47.655025	-122.375542
T	47.655018	-122.375557
T	47.654804	-122.37574
T	47.654793	-122.375748
T	47.654362	-122.375847
T	47.65427	-122.375931
T	47.65414	-122.376625
T	47.654148	-122.377319
T	47.655052	-122.376572
T	47.655067	-122.376556
T	47.655926	-122.376572
T	47.655987	-122.376572
T	47.655987	-122.382347
T	47.658474	-122.382378
T	47.658489	-122.382378
T	47.659317	-122.382919
T	47.659355	-122.382942
T	47.659344	-122.383286
T	47.659576	-122.383492
T	47.659592	-122.383507
